experiment_name,explanation,model,threshold,F1_Train(Class1),F1_Test(Class1),Precision_Test(Class1),Recall_Test(Class1),Overfit_Gap(F1),ROC_AUC
chronological_split,"chronological split, threshold 0.15",RandomForestClassifier,0.15,0.9976,0.5085,0.5228,0.4951,0.489,0.9973
undersample_50_50,chronological split + 50/50 undersampling + threshold 0.15,RandomForestClassifier,0.15,0.9997,0.3979,0.2726,0.7367,0.6018,0.9934
undersample_70_30,chronological split + 70/30 undersampling + threshold 0.15,RandomForestClassifier,0.15,0.9996,0.4283,0.3021,0.7355,0.5714,0.996
smote_0.05,chronological split + SMOTE sampling_strategy=0.0.5 + threshold 0.15,RandomForestClassifier,0.15,0.9987,0.634,0.5861,0.6905,0.3646,0.9959
SMOTEtomek_0.05,chronological split + SMOTEtomek sampling_strategy=0.0.5 + threshold=0.15,RandomForestClassifier,0.15,0.9993,0.608,0.5929,0.6239,0.3913,0.9944
First_drop,chronological split + SMOTE sampling_strategy=0.0.5 + threshold=0.15,RandomForestClassifier,0.15,0.9987,0.6464,0.6047,0.6942,0.3524,0.9974
Drop_TP3,chronological split + SMOTE sampling_strategy=0.0.5 + threshold=0.15,RandomForestClassifier,0.15,0.9987,0.6058,0.6405,0.5746,0.3929,0.9981
DV_electric,chronological split + SMOTE sampling_strategy=0.0.5 + threshold=0.15,RandomForestClassifier,0.15,0.9987,0.5794,0.539,0.6264,0.4193,0.9976
COMP,chronological split + SMOTE sampling_strategy=0.0.5 + threshold=0.15,RandomForestClassifier,0.15,0.9987,0.6504,0.6098,0.6967,0.3483,0.9981
Towers&COMP,chronological split + SMOTE sampling_strategy=0.0.5 + threshold=0.15,RandomForestClassifier,0.15,0.9987,0.6618,0.6327,0.6936,0.337,0.9979
optuna,chronological split + smote sampling strategy 0.43 + threshold 0.6,Pipeline,0.15,0.9852,0.6144,0.5593,0.6815,0.3708,0.9888
